farm_id,farm_name,record_id,animal_id,date,rumination_min,eating_min,sitting_min,standing_min,coughing_count,resting_min,activity_rate,mounting_count,sniffing,heat_detection_count,sit_stand_min,data_collection_rate_pct,source_file
FARM-002,Kaduna Semi-Intensive Farm,84,COW-10000300,2025-08-23,476.1998,120.9664,703.1608,699.3445,0,243.4063,70.033543,7,169.045308,0,1402.5053,99.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,85,COW-10000300,2025-08-24,331.3969,156.6816,838.6765,561.4389,3,159.3095,58.330482,2,69.354509,0,1400.1154,94.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,86,COW-10000300,2025-08-25,317.8782,190.6223,791.4171,624.5407,7,248.9927,63.987814,4,120.917596,0,1415.9578,90.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,87,COW-10000300,2025-08-26,253.1707,161.3713,657.7439,784.5565,10,283.8732,69.984745,4,198.771157,0,1442.3004,95.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,88,COW-10000300,2025-08-27,290.7441,193.7043,795.3589,622.9579,4,234.2728,68.791301,3,126.340123,0,1418.3168,91.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,89,COW-10000300,2025-08-28,394.1215,121.0835,732.9411,687.4667,2,163.7586,66.699597,1,148.327661,0,1420.4078,85.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,90,COW-10000300,2025-08-29,297.9641,103.7372,833.2635,605.644,8,250.1774,45.174512,2,91.272879,0,1438.9075,89.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,91,COW-10000300,2025-08-30,402.421,189.2392,749.2167,660.9094,6,292.9384,64.402419,6,88.26604,0,1410.1261,90.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,92,COW-10000300,2025-08-31,492.8385,127.9611,650.4193,783.8521,5,281.2661,64.409098,3,116.591433,0,1434.2714,98.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,93,COW-10000300,2025-09-01,296.6647,145.3458,776.1061,648.3851,8,186.6308,76.506873,3,188.581175,0,1424.4912,100.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,94,COW-10000300,2025-09-02,423.4975,171.7601,750.8347,687.2948,6,186.0339,65.792768,4,93.39802,0,1438.1295,94.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,95,COW-10000300,2025-09-03,322.9947,106.2628,834.348,606.4548,6,151.1261,53.445199,1,169.626625,0,1440.8028,87.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,96,COW-10000300,2025-09-04,432.3008,93.8845,851.4058,568.0973,3,173.0945,56.912013,1,142.950279,0,1419.5031,100.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,97,COW-10000300,2025-09-05,220.8922,96.5597,706.2293,733.3075,5,249.518,44.473792,7,174.879393,0,1439.5368,91.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,98,COW-10000300,2025-09-06,365.6555,140.0919,785.8618,648.4464,0,299.9133,60.658376,8,64.279863,0,1434.3082,100.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,99,COW-10000300,2025-09-07,295.4979,135.3451,650.5193,770.7195,4,203.0007,71.498555,6,174.818011,0,1421.2388,91.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,100,COW-10000300,2025-09-08,296.4637,169.8585,754.148,685.9215,2,171.5863,75.162751,8,64.414285,0,1440.0695,93.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,101,COW-10000300,2025-09-09,220.2555,86.3369,721.6399,678.3861,9,155.2258,66.090304,6,173.469098,0,1400.026,87.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,102,COW-10000300,2025-09-10,458.2403,178.775,817.4694,609.4777,0,209.1722,69.511902,0,88.617794,0,1426.9471,93.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,103,COW-10000300,2025-09-11,425.0798,135.7616,684.9124,733.4828,6,262.7236,44.756414,1,62.897353,0,1418.3952,88.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,104,COW-10000300,2025-09-12,446.9323,127.8208,682.1173,767.4021,10,217.3094,55.716727,5,181.26263,0,1449.5194,98.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,105,COW-10000300,2025-09-13,257.6902,106.4958,706.8917,725.912,2,234.9631,62.036351,6,174.282039,0,1432.8037,85.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,106,COW-10000300,2025-09-14,214.8377,152.187,696.5268,727.7828,3,263.6865,73.064459,3,134.18346,0,1424.3096,89.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,107,COW-10000300,2025-09-15,356.5755,117.77,787.6519,640.5529,9,150.1601,48.491086,0,184.176725,0,1428.2048,88.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,108,COW-10000300,2025-09-16,467.0792,136.3947,840.5164,583.2882,5,182.2767,63.430853,0,79.322976,0,1423.8046,88.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,109,COW-10000300,2025-09-17,229.7471,104.8382,677.059,744.0777,0,279.0423,52.815888,1,104.113803,0,1421.1367,90.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,110,COW-10000300,2025-09-18,279.4422,153.2582,822.5465,587.723,0,164.9747,44.296118,8,67.298966,0,1410.2695,87.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,111,COW-10000300,2025-09-19,455.7147,170.5126,762.1529,678.8375,1,156.6263,56.050599,8,98.5905,0,1440.9904,94.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,112,COW-10000300,2025-09-20,441.8573,100.4409,760.3935,688.5382,5,295.6327,55.229294,4,109.628754,0,1448.9317,87.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,113,COW-10000300,2025-09-21,296.3257,103.185,814.8852,590.279,0,203.8009,56.346775,5,114.727851,0,1405.1642,99.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,114,COW-10000300,2025-09-22,479.8339,126.979,733.242,683.2211,10,219.2727,66.350136,5,133.159854,0,1416.4631,90.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,115,COW-10000300,2025-09-23,313.5778,91.3568,786.4909,621.8122,10,182.1808,62.506896,3,163.330931,0,1408.3031,97.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,116,COW-10000300,2025-09-24,478.2515,151.6873,656.3561,777.0913,7,208.8727,76.956016,8,136.846629,1,1433.4474,86.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,117,COW-10000300,2025-09-25,404.1256,147.5202,786.8715,614.4551,1,224.4626,58.630298,7,50.820966,0,1401.3266,90.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,118,COW-10000300,2025-09-26,463.6291,124.7673,700.6318,727.6221,7,266.2362,59.863619,1,130.473189,0,1428.2539,99.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,119,COW-10000300,2025-09-27,456.6926,102.5131,831.696,598.0176,6,165.1659,72.438516,3,122.264533,0,1429.7136,100.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,120,COW-10000300,2025-09-28,382.1634,130.9975,727.1835,691.3157,1,269.2126,73.508674,1,92.65957,0,1418.4992,98.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,121,COW-10000300,2025-09-29,207.1911,142.4549,787.7593,635.4245,6,250.2496,55.06936,1,142.807217,0,1423.1838,92.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,122,COW-10000300,2025-09-30,356.6753,105.7192,672.9185,734.0627,5,164.5215,77.892792,3,110.749109,0,1406.9812,100.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,123,COW-10000300,2025-10-01,224.2206,158.2003,786.941,656.6294,3,214.6615,41.435955,3,130.190113,0,1443.5704,99.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,124,COW-10000300,2025-10-02,212.1198,164.6956,828.4611,586.6271,4,290.3811,73.49903,0,67.625657,0,1415.0882,98.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,125,COW-10000300,2025-10-03,246.7273,144.1878,773.6656,672.1216,7,216.7524,42.524687,3,195.312848,0,1445.7872,88.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,126,COW-10000300,2025-10-04,285.8142,195.7248,814.8684,589.8459,1,274.5029,79.035902,6,176.323198,0,1404.7143,87.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,127,COW-10000300,2025-10-05,438.7366,145.4811,834.6664,592.5084,2,255.7257,59.317536,8,118.460579,0,1427.1748,90.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,128,COW-10000300,2025-10-06,317.4521,90.7704,795.9679,607.9039,7,289.6027,64.48884,4,55.276397,0,1403.8718,88.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,129,COW-10000300,2025-10-07,492.7208,106.2445,841.8229,583.9648,9,185.4541,41.964706,8,73.040275,0,1425.7877,88.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,130,COW-10000300,2025-10-08,370.5709,189.4939,776.0674,650.7935,8,270.0875,64.711556,1,179.620524,0,1426.8609,90.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,131,COW-10000300,2025-10-09,227.1737,107.1115,841.5526,580.3395,9,265.616,61.619068,3,77.421316,0,1421.8921,95.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,132,COW-10000300,2025-10-10,401.856,132.1712,787.9829,623.4494,9,290.5005,47.516143,1,66.096854,0,1411.4323,93.0,synthetic_farm_FARM-002
FARM-002,Kaduna Semi-Intensive Farm,133,COW-10000300,2025-10-11,352.4579,132.4001,758.1305,691.6103,5,213.2649,42.67303,4,138.943495,0,1449.7408,95.0,synthetic_farm_FARM-002
