Cow ID,Date,Estimated Milk Production (L/day)
COW-10000246,08/07/2025,6.6
COW-10000246,09/07/2025,6.1
COW-10000246,10/07/2025,6.33
COW-10000246,11/07/2025,6.33
COW-10000246,12/07/2025,6.16
COW-10000246,13/07/2025,6.36
COW-10000246,14/07/2025,6.47
COW-10000246,15/07/2025,7.4
COW-10000246,16/07/2025,6.77
COW-10000246,17/07/2025,5.69
COW-10000246,18/07/2025,6.0
COW-10000246,19/07/2025,6.69
COW-10000246,20/07/2025,6.33
COW-10000246,21/07/2025,7.49
COW-10000246,22/07/2025,5.78
COW-10000246,23/07/2025,6.51
COW-10000246,24/07/2025,5.94
COW-10000246,25/07/2025,6.09
COW-10000246,26/07/2025,4.14
COW-10000246,27/07/2025,7.02
COW-10000246,28/07/2025,7.99
COW-10000246,29/07/2025,7.87
COW-10000246,30/07/2025,6.96
COW-10000246,31/07/2025,6.87
COW-10000246,01/08/2025,7.84
COW-10000246,02/08/2025,7.71
COW-10000246,03/08/2025,7.27
COW-10000246,04/08/2025,7.81
COW-10000246,05/08/2025,7.04
COW-10000246,06/08/2025,7.49
COW-10000246,07/08/2025,7.06
COW-10000246,08/08/2025,5.5
COW-10000246,09/08/2025,6.96
COW-10000246,10/08/2025,7.09
COW-10000246,11/08/2025,7.26
COW-10000246,12/08/2025,6.93
COW-10000246,13/08/2025,7.76
COW-10000246,14/08/2025,7.67
COW-10000246,15/08/2025,7.21
COW-10000246,16/08/2025,7.36
COW-10000246,17/08/2025,7.83
COW-10000246,18/08/2025,6.1
COW-10000246,19/08/2025,6.04
COW-10000246,20/08/2025,6.14
COW-10000246,21/08/2025,4.77
COW-10000246,22/08/2025,4.32
COW-10000246,23/08/2025,6.91
COW-10000246,24/08/2025,7.29
COW-10000246,25/08/2025,7.28
COW-10000246,26/08/2025,7.08
COW-10000246,27/08/2025,6.86
COW-10000246,28/08/2025,7.52
COW-10000246,29/08/2025,7.68
COW-10000246,30/08/2025,6.89
COW-10000246,31/08/2025,7.18
COW-10000246,01/09/2025,7.48
COW-10000246,02/09/2025,7.3
COW-10000246,03/09/2025,7.43
COW-10000246,04/09/2025,7.64
COW-10000246,05/09/2025,6.65
COW-10000246,06/09/2025,4.47
COW-10000246,07/09/2025,6.75
COW-10000246,08/09/2025,6.67
COW-10000246,09/09/2025,6.55
COW-10000246,10/09/2025,4.84
COW-10000246,11/09/2025,7.13
COW-10000246,12/09/2025,7.34
COW-10000246,13/09/2025,7.54
COW-10000246,14/09/2025,7.44
COW-10000246,15/09/2025,8.03
COW-10000246,16/09/2025,7.53
COW-10000246,17/09/2025,7.69
COW-10000246,18/09/2025,8.12
COW-10000246,19/09/2025,7.91
COW-10000246,20/09/2025,7.37
COW-10000246,21/09/2025,7.59
COW-10000246,22/09/2025,7.8
COW-10000246,23/09/2025,7.72
COW-10000246,24/09/2025,7.62
COW-10000246,25/09/2025,7.94
COW-10000246,26/09/2025,8.03
COW-10000246,27/09/2025,6.78
COW-10000246,28/09/2025,6.09
COW-10000246,29/09/2025,6.16
COW-10000246,30/09/2025,6.69
COW-10000246,01/10/2025,6.36
COW-10000247,01/06/2025,6.18
COW-10000247,02/06/2025,5.86
COW-10000247,03/06/2025,6.02
COW-10000247,04/06/2025,6.09
COW-10000247,05/06/2025,6.79
COW-10000247,06/06/2025,6.49
COW-10000247,07/06/2025,6.23
COW-10000247,08/06/2025,6.67
COW-10000247,09/06/2025,6.0
COW-10000247,10/06/2025,6.9
COW-10000247,11/06/2025,5.89
COW-10000247,12/06/2025,5.93
COW-10000247,13/06/2025,6.02
COW-10000247,14/06/2025,6.72
COW-10000247,15/06/2025,5.04
COW-10000247,16/06/2025,5.82
COW-10000247,17/06/2025,6.71
COW-10000247,18/06/2025,6.48
COW-10000247,19/06/2025,5.83
COW-10000247,20/06/2025,6.03
COW-10000247,21/06/2025,6.21
COW-10000247,22/06/2025,5.83
COW-10000247,23/06/2025,6.2
COW-10000247,24/06/2025,5.97
COW-10000247,25/06/2025,6.1
COW-10000247,26/06/2025,5.4
COW-10000247,27/06/2025,6.0
COW-10000247,28/06/2025,6.32
COW-10000247,29/06/2025,5.47
COW-10000247,30/06/2025,5.67
COW-10000247,01/07/2025,5.67
COW-10000247,02/07/2025,4.56
COW-10000247,03/07/2025,5.61
COW-10000247,04/07/2025,5.59
COW-10000247,05/07/2025,5.85
COW-10000247,06/07/2025,6.04
COW-10000247,07/07/2025,5.29
COW-10000247,08/07/2025,6.04
COW-10000247,09/07/2025,5.05
COW-10000247,10/07/2025,4.72
COW-10000247,11/07/2025,5.15
COW-10000247,12/07/2025,5.15
COW-10000247,13/07/2025,4.8
COW-10000247,14/07/2025,6.1
COW-10000247,15/07/2025,5.48
COW-10000247,16/07/2025,6.1
COW-10000247,17/07/2025,5.4
COW-10000247,18/07/2025,4.36
COW-10000247,19/07/2025,5.07
COW-10000247,20/07/2025,4.04
COW-10000247,21/07/2025,4.74
COW-10000247,22/07/2025,5.13
COW-10000247,23/07/2025,5.0
COW-10000247,24/07/2025,4.39
COW-10000247,25/07/2025,5.36
COW-10000247,26/07/2025,5.44
COW-10000247,27/07/2025,5.33
COW-10000247,28/07/2025,5.34
COW-10000247,29/07/2025,6.09
COW-10000247,30/07/2025,6.14
COW-10000247,31/07/2025,5.4
COW-10000247,01/08/2025,5.73
COW-10000247,02/08/2025,6.54
COW-10000247,03/08/2025,6.17
COW-10000247,04/08/2025,6.19
COW-10000247,05/08/2025,6.18
COW-10000247,06/08/2025,5.13
COW-10000247,07/08/2025,5.95
COW-10000247,08/08/2025,5.19
COW-10000247,09/08/2025,5.59
COW-10000247,10/08/2025,6.39
COW-10000247,11/08/2025,5.83
COW-10000247,12/08/2025,5.84
COW-10000247,13/08/2025,6.87
COW-10000247,14/08/2025,6.13
COW-10000247,15/08/2025,6.16
COW-10000247,16/08/2025,6.44
COW-10000247,17/08/2025,6.19
COW-10000247,18/08/2025,5.63
COW-10000247,19/08/2025,6.13
COW-10000247,20/08/2025,6.27
COW-10000247,21/08/2025,5.99
COW-10000247,22/08/2025,6.12
COW-10000247,23/08/2025,5.45
COW-10000247,24/08/2025,5.63
COW-10000247,25/08/2025,5.95
COW-10000247,26/08/2025,6.08
COW-10000247,27/08/2025,5.46
COW-10000247,28/08/2025,6.6
COW-10000247,29/08/2025,6.02
COW-10000247,30/08/2025,6.18
COW-10000247,31/08/2025,6.81
COW-10000247,01/09/2025,6.3
COW-10000247,02/09/2025,6.73
COW-10000247,03/09/2025,6.12
COW-10000247,04/09/2025,6.48
COW-10000247,05/09/2025,6.09
COW-10000247,06/09/2025,5.72
COW-10000247,07/09/2025,6.24
COW-10000247,08/09/2025,5.98
COW-10000247,09/09/2025,6.42
COW-10000247,10/09/2025,6.41
COW-10000247,11/09/2025,5.35
COW-10000247,12/09/2025,5.47
COW-10000247,13/09/2025,5.41
COW-10000247,14/09/2025,6.33
COW-10000247,15/09/2025,6.58
COW-10000247,16/09/2025,6.72
COW-10000247,17/09/2025,6.44
COW-10000247,18/09/2025,6.65
COW-10000247,19/09/2025,6.41
COW-10000247,20/09/2025,5.67
COW-10000247,21/09/2025,6.02
COW-10000247,22/09/2025,5.89
COW-10000247,23/09/2025,5.77
COW-10000247,24/09/2025,6.09
COW-10000247,25/09/2025,5.83
COW-10000247,26/09/2025,5.94
COW-10000247,27/09/2025,4.82
COW-10000247,28/09/2025,3.49
COW-10000247,29/09/2025,4.09
COW-10000247,30/09/2025,5.16
COW-10000247,01/10/2025,4.16
COW-10000248,01/06/2025,2.99
COW-10000248,02/06/2025,2.69
COW-10000248,03/06/2025,2.78
COW-10000248,04/06/2025,2.41
COW-10000248,05/06/2025,2.38
COW-10000248,06/06/2025,2.51
COW-10000248,07/06/2025,2.45
COW-10000248,08/06/2025,2.59
COW-10000248,09/06/2025,2.74
COW-10000248,10/06/2025,2.31
COW-10000248,11/06/2025,1.93
COW-10000248,12/06/2025,2.49
COW-10000248,13/06/2025,2.34
COW-10000248,14/06/2025,2.93
COW-10000248,15/06/2025,3.31
COW-10000248,16/06/2025,2.72
COW-10000248,17/06/2025,2.62
COW-10000248,18/06/2025,2.55
COW-10000248,19/06/2025,1.99
COW-10000248,20/06/2025,1.81
COW-10000248,21/06/2025,2.34
COW-10000248,22/06/2025,2.19
COW-10000248,23/06/2025,2.39
COW-10000248,24/06/2025,2.26
COW-10000248,25/06/2025,2.67
COW-10000248,26/06/2025,1.7
COW-10000248,27/06/2025,2.55
COW-10000248,28/06/2025,1.9
COW-10000248,29/06/2025,1.89
COW-10000248,30/06/2025,2.09
COW-10000248,01/07/2025,2.06
COW-10000248,02/07/2025,1.87
COW-10000248,03/07/2025,1.66
COW-10000248,04/07/2025,1.59
COW-10000248,05/07/2025,1.91
COW-10000248,06/07/2025,1.62
COW-10000248,07/07/2025,1.78
COW-10000248,08/07/2025,1.66
COW-10000248,09/07/2025,1.5
COW-10000248,10/07/2025,1.58
COW-10000248,11/07/2025,1.9
COW-10000248,12/07/2025,1.51
COW-10000248,13/07/2025,1.5
COW-10000248,14/07/2025,1.89
COW-10000248,15/07/2025,2.16
COW-10000248,16/07/2025,2.13
COW-10000248,17/07/2025,2.21
COW-10000248,18/07/2025,2.3
COW-10000248,19/07/2025,2.54
COW-10000248,20/07/2025,2.85
COW-10000248,21/07/2025,2.88
COW-10000248,22/07/2025,1.95
COW-10000248,23/07/2025,1.5
COW-10000248,24/07/2025,1.5
COW-10000248,25/07/2025,1.5
COW-10000248,26/07/2025,1.58
COW-10000248,27/07/2025,1.98
COW-10000248,28/07/2025,3.05
COW-10000248,29/07/2025,2.61
COW-10000248,30/07/2025,2.57
COW-10000248,31/07/2025,1.84
COW-10000248,01/08/2025,1.96
COW-10000248,02/08/2025,2.15
COW-10000248,03/08/2025,2.48
COW-10000248,04/08/2025,2.8
COW-10000248,05/08/2025,1.77
COW-10000248,06/08/2025,3.35
COW-10000248,07/08/2025,2.9
COW-10000248,08/08/2025,2.23
COW-10000248,09/08/2025,2.38
COW-10000248,10/08/2025,2.48
COW-10000248,11/08/2025,1.76
COW-10000248,12/08/2025,2.6
COW-10000248,13/08/2025,1.69
COW-10000248,14/08/2025,2.67
COW-10000248,15/08/2025,2.96
COW-10000248,16/08/2025,2.54
COW-10000248,17/08/2025,2.04
COW-10000248,18/08/2025,2.79
COW-10000248,19/08/2025,2.6
COW-10000248,20/08/2025,1.5
COW-10000248,21/08/2025,1.74
COW-10000248,22/08/2025,1.65
COW-10000248,23/08/2025,1.5
COW-10000248,24/08/2025,2.81
COW-10000248,25/08/2025,2.4
COW-10000248,26/08/2025,2.58
COW-10000248,27/08/2025,2.37
COW-10000248,28/08/2025,2.6
COW-10000248,29/08/2025,2.91
COW-10000248,30/08/2025,2.49
COW-10000248,31/08/2025,2.96
COW-10000248,01/09/2025,2.73
COW-10000248,02/09/2025,2.99
COW-10000248,03/09/2025,2.32
COW-10000248,04/09/2025,2.52
COW-10000248,05/09/2025,1.92
COW-10000248,06/09/2025,1.5
COW-10000248,07/09/2025,1.65
COW-10000248,08/09/2025,1.51
COW-10000248,09/09/2025,2.7
COW-10000248,10/09/2025,3.46
COW-10000248,11/09/2025,2.65
COW-10000248,12/09/2025,2.37
COW-10000249,01/06/2025,4.02
COW-10000249,02/06/2025,3.76
COW-10000249,03/06/2025,3.34
COW-10000249,04/06/2025,2.61
COW-10000249,05/06/2025,3.8
COW-10000249,06/06/2025,3.63
COW-10000249,07/06/2025,3.95
COW-10000249,08/06/2025,4.64
COW-10000249,09/06/2025,3.45
COW-10000249,10/06/2025,3.47
COW-10000249,11/06/2025,3.83
COW-10000249,12/06/2025,3.83
COW-10000249,13/06/2025,3.94
COW-10000249,14/06/2025,3.74
COW-10000249,15/06/2025,3.12
COW-10000249,16/06/2025,2.31
COW-10000249,17/06/2025,3.42
COW-10000249,18/06/2025,3.67
COW-10000249,19/06/2025,3.19
COW-10000249,20/06/2025,2.99
COW-10000249,21/06/2025,3.49
COW-10000249,22/06/2025,3.14
COW-10000249,23/06/2025,3.09
COW-10000249,24/06/2025,3.29
COW-10000249,25/06/2025,3.21
COW-10000249,26/06/2025,4.39
COW-10000249,27/06/2025,3.9
COW-10000249,28/06/2025,3.64
COW-10000249,29/06/2025,3.61
COW-10000249,30/06/2025,3.41
COW-10000249,01/07/2025,3.41
COW-10000249,02/07/2025,3.67
COW-10000249,03/07/2025,3.19
COW-10000249,04/07/2025,3.11
COW-10000249,05/07/2025,3.36
COW-10000249,06/07/2025,3.46
COW-10000249,07/07/2025,2.77
COW-10000249,08/07/2025,3.75
COW-10000249,09/07/2025,2.67
COW-10000249,10/07/2025,2.93
COW-10000249,11/07/2025,3.11
COW-10000249,12/07/2025,3.0
COW-10000249,13/07/2025,3.07
COW-10000249,14/07/2025,3.37
COW-10000249,15/07/2025,2.82
COW-10000249,16/07/2025,2.84
COW-10000249,17/07/2025,3.23
COW-10000249,18/07/2025,2.81
COW-10000249,19/07/2025,2.41
COW-10000249,20/07/2025,2.43
COW-10000249,21/07/2025,3.15
COW-10000249,22/07/2025,2.26
COW-10000249,23/07/2025,1.66
COW-10000249,24/07/2025,1.5
COW-10000249,25/07/2025,2.33
COW-10000249,26/07/2025,2.73
COW-10000249,27/07/2025,3.44
COW-10000249,28/07/2025,3.52
COW-10000249,29/07/2025,3.68
COW-10000249,30/07/2025,3.57
COW-10000249,31/07/2025,3.4
COW-10000249,01/08/2025,3.73
COW-10000249,02/08/2025,4.72
COW-10000249,03/08/2025,4.2
COW-10000249,04/08/2025,3.36
COW-10000249,05/08/2025,3.88
COW-10000249,06/08/2025,2.98
COW-10000249,07/08/2025,4.12
COW-10000249,08/08/2025,3.31
COW-10000249,09/08/2025,3.4
COW-10000249,10/08/2025,3.7
COW-10000249,11/08/2025,3.07
COW-10000249,12/08/2025,3.11
COW-10000249,13/08/2025,3.74
COW-10000249,14/08/2025,3.98
COW-10000249,15/08/2025,3.38
COW-10000249,16/08/2025,3.11
COW-10000249,17/08/2025,2.44
COW-10000249,18/08/2025,2.56
COW-10000249,19/08/2025,3.51
COW-10000249,20/08/2025,2.8
COW-10000249,21/08/2025,2.72
COW-10000249,22/08/2025,2.63
COW-10000249,23/08/2025,2.64
COW-10000249,24/08/2025,3.45
COW-10000249,25/08/2025,2.72
COW-10000249,26/08/2025,3.07
COW-10000249,27/08/2025,2.78
COW-10000249,28/08/2025,3.13
COW-10000249,29/08/2025,3.18
COW-10000249,30/08/2025,3.03
COW-10000249,31/08/2025,2.71
COW-10000249,01/09/2025,3.83
COW-10000249,02/09/2025,3.75
COW-10000249,03/09/2025,2.25
COW-10000249,04/09/2025,2.95
COW-10000249,05/09/2025,2.74
COW-10000249,06/09/2025,2.41
COW-10000249,07/09/2025,3.83
COW-10000249,08/09/2025,3.04
COW-10000249,09/09/2025,3.26
COW-10000249,10/09/2025,3.78
COW-10000249,11/09/2025,3.97
COW-10000249,12/09/2025,3.02
COW-10000250,01/06/2025,4.43
COW-10000250,02/06/2025,4.45
COW-10000250,03/06/2025,5.17
COW-10000250,04/06/2025,4.11
COW-10000250,05/06/2025,4.34
COW-10000250,06/06/2025,4.62
COW-10000250,07/06/2025,4.3
COW-10000250,08/06/2025,4.58
COW-10000250,09/06/2025,4.31
COW-10000250,10/06/2025,3.16
COW-10000250,11/06/2025,4.52
COW-10000250,12/06/2025,4.81
COW-10000250,13/06/2025,4.39
COW-10000250,14/06/2025,4.99
COW-10000250,15/06/2025,4.82
COW-10000250,16/06/2025,4.46
COW-10000250,17/06/2025,4.44
COW-10000250,18/06/2025,4.28
COW-10000250,19/06/2025,4.43
COW-10000250,20/06/2025,3.99
COW-10000250,21/06/2025,4.06
COW-10000250,22/06/2025,4.23
COW-10000250,23/06/2025,4.86
COW-10000250,24/06/2025,4.59
COW-10000250,25/06/2025,3.97
COW-10000250,26/06/2025,3.98
COW-10000250,27/06/2025,4.12
COW-10000250,28/06/2025,3.61
COW-10000250,29/06/2025,3.46
COW-10000250,30/06/2025,1.61
COW-10000250,01/07/2025,3.6
COW-10000250,02/07/2025,3.56
COW-10000250,03/07/2025,3.56
COW-10000250,04/07/2025,3.55
COW-10000250,05/07/2025,2.96
COW-10000250,06/07/2025,3.63
COW-10000250,07/07/2025,2.86
COW-10000250,08/07/2025,3.11
COW-10000250,09/07/2025,3.13
COW-10000250,10/07/2025,2.96
COW-10000250,11/07/2025,3.63
COW-10000250,12/07/2025,3.51
COW-10000250,13/07/2025,3.25
COW-10000250,14/07/2025,3.25
COW-10000250,15/07/2025,2.78
COW-10000250,16/07/2025,3.6
COW-10000250,17/07/2025,3.02
COW-10000250,18/07/2025,2.29
COW-10000251,01/06/2025,4.75
COW-10000251,02/06/2025,5.97
COW-10000251,03/06/2025,6.1
COW-10000251,04/06/2025,6.59
COW-10000251,05/06/2025,5.39
COW-10000251,06/06/2025,5.97
COW-10000251,07/06/2025,5.8
COW-10000251,08/06/2025,5.77
COW-10000251,09/06/2025,5.7
COW-10000251,10/06/2025,6.17
COW-10000251,11/06/2025,5.7
COW-10000251,12/06/2025,5.73
COW-10000251,13/06/2025,4.93
COW-10000251,14/06/2025,6.2
COW-10000251,15/06/2025,6.26
COW-10000251,16/06/2025,5.62
COW-10000251,17/06/2025,5.47
COW-10000251,18/06/2025,5.27
COW-10000251,19/06/2025,2.34
COW-10000251,20/06/2025,5.39
COW-10000251,21/06/2025,5.66
COW-10000251,22/06/2025,5.56
COW-10000251,23/06/2025,5.73
COW-10000251,24/06/2025,6.31
COW-10000251,25/06/2025,5.36
COW-10000251,26/06/2025,3.81
COW-10000251,27/06/2025,3.84
COW-10000251,28/06/2025,4.89
COW-10000251,29/06/2025,4.96
COW-10000251,30/06/2025,5.42
COW-10000251,01/07/2025,4.57
COW-10000251,02/07/2025,4.37
COW-10000251,03/07/2025,4.52
COW-10000251,04/07/2025,5.54
COW-10000251,05/07/2025,4.69
COW-10000251,06/07/2025,4.23
COW-10000251,07/07/2025,4.8
COW-10000251,08/07/2025,4.13
COW-10000251,09/07/2025,5.21
COW-10000251,10/07/2025,4.56
COW-10000251,11/07/2025,4.6
COW-10000251,12/07/2025,4.6
COW-10000251,13/07/2025,4.47
COW-10000251,14/07/2025,4.29
COW-10000251,15/07/2025,4.45
COW-10000251,16/07/2025,6.05
COW-10000251,17/07/2025,5.04
COW-10000251,18/07/2025,3.94
COW-10000251,19/07/2025,4.89
COW-10000251,20/07/2025,4.66
COW-10000251,21/07/2025,5.21
COW-10000251,22/07/2025,4.76
COW-10000251,23/07/2025,4.5
COW-10000251,24/07/2025,4.01
COW-10000251,25/07/2025,5.0
COW-10000251,26/07/2025,4.76
COW-10000251,27/07/2025,4.44
COW-10000251,28/07/2025,5.42
COW-10000251,29/07/2025,4.51
COW-10000251,30/07/2025,5.5
COW-10000251,31/07/2025,4.9
COW-10000251,01/08/2025,4.7
COW-10000251,02/08/2025,4.91
COW-10000251,03/08/2025,5.01
COW-10000251,04/08/2025,5.96
COW-10000251,05/08/2025,5.92
COW-10000251,06/08/2025,4.93
COW-10000251,07/08/2025,5.11
COW-10000251,08/08/2025,5.65
COW-10000251,09/08/2025,6.13
COW-10000251,10/08/2025,5.23
COW-10000251,11/08/2025,5.93
COW-10000251,12/08/2025,5.53
COW-10000251,13/08/2025,6.23
COW-10000251,14/08/2025,6.0
COW-10000251,15/08/2025,5.34
COW-10000251,16/08/2025,5.82
COW-10000251,17/08/2025,5.23
COW-10000251,18/08/2025,5.17
COW-10000251,19/08/2025,4.76
COW-10000251,20/08/2025,4.7
COW-10000251,21/08/2025,5.13
COW-10000251,22/08/2025,4.24
COW-10000251,23/08/2025,4.9
COW-10000251,24/08/2025,5.36
COW-10000251,25/08/2025,5.43
COW-10000251,26/08/2025,5.27
COW-10000251,27/08/2025,4.63
COW-10000251,28/08/2025,5.33
COW-10000251,29/08/2025,4.86
COW-10000251,30/08/2025,5.29
COW-10000251,31/08/2025,5.44
COW-10000251,01/09/2025,5.41
COW-10000251,02/09/2025,5.7
COW-10000251,03/09/2025,4.85
COW-10000251,04/09/2025,5.73
COW-10000251,05/09/2025,5.12
COW-10000251,06/09/2025,5.47
COW-10000251,07/09/2025,4.81
COW-10000251,08/09/2025,5.06
COW-10000251,09/09/2025,5.55
COW-10000251,10/09/2025,5.52
COW-10000251,11/09/2025,4.97
COW-10000251,12/09/2025,5.56
COW-10000251,13/09/2025,5.31
COW-10000251,14/09/2025,5.04
COW-10000251,15/09/2025,5.71
COW-10000251,16/09/2025,5.7
COW-10000251,17/09/2025,4.65
COW-10000251,18/09/2025,5.06
COW-10000251,19/09/2025,6.01
COW-10000251,20/09/2025,5.56
COW-10000251,21/09/2025,5.15
COW-10000251,22/09/2025,5.76
COW-10000251,23/09/2025,5.88
COW-10000251,24/09/2025,5.28
COW-10000251,25/09/2025,5.32
COW-10000251,26/09/2025,5.99
COW-10000251,27/09/2025,5.23
COW-10000251,28/09/2025,4.28
COW-10000251,29/09/2025,4.07
COW-10000252,01/06/2025,4.67
COW-10000252,02/06/2025,4.07
COW-10000252,03/06/2025,4.64
COW-10000252,04/06/2025,4.33
COW-10000252,05/06/2025,5.11
COW-10000252,06/06/2025,5.11
COW-10000252,07/06/2025,3.98
COW-10000252,08/06/2025,4.58
COW-10000252,09/06/2025,4.19
COW-10000252,10/06/2025,4.6
COW-10000252,11/06/2025,4.28
COW-10000252,12/06/2025,4.49
COW-10000252,13/06/2025,4.68
COW-10000252,14/06/2025,4.99
COW-10000252,15/06/2025,5.09
COW-10000252,16/06/2025,5.21
COW-10000252,17/06/2025,4.72
COW-10000252,18/06/2025,4.77
COW-10000252,19/06/2025,4.25
COW-10000252,20/06/2025,4.37
COW-10000252,21/06/2025,4.21
COW-10000252,22/06/2025,4.42
COW-10000252,23/06/2025,5.0
COW-10000252,24/06/2025,5.2
COW-10000252,25/06/2025,5.23
COW-10000252,26/06/2025,5.54
COW-10000252,27/06/2025,5.21
COW-10000252,28/06/2025,4.67
COW-10000252,29/06/2025,3.44
COW-10000252,30/06/2025,3.84
COW-10000252,01/07/2025,3.57
